"SystemTime","IpAddress","Neighbor","meanLinkQuality"
1466419282,"10.0.0.3","10.0.0.2",0.9155
1466419282,"10.0.0.2","10.0.0.3",0.77675
1466419282,"10.0.0.2","10.0.0.1",0.682
1466419282,"10.0.0.3","10.0.0.5",0.866333333333333
1466419282,"10.0.0.3","10.0.0.6",0.7735
1466419282,"10.0.0.3","10.0.0.4",0.615
1466419284,"10.0.0.6","10.0.0.3",0.6955
1466419284,"10.0.0.6","10.0.0.5",0.842666666666667
1466419285,"10.0.0.4","10.0.0.3",0.69825
1466419285,"10.0.0.5","10.0.0.3",0.71425
1466419285,"10.0.0.4","10.0.0.5",0.866333333333333
1466419285,"10.0.0.5","10.0.0.6",0.772
1466419285,"10.0.0.5","10.0.0.4",0.5345
1466419286,"10.0.0.1","10.0.0.2",0.9155
1466419312,"10.0.0.1","10.0.0.2",0.9195
1466419313,"10.0.0.3","10.0.0.2",0.9095
1466419313,"10.0.0.2","10.0.0.3",0.567
1466419313,"10.0.0.2","10.0.0.1",0.886
1466419313,"10.0.0.3","10.0.0.5",0.709
1466419313,"10.0.0.3","10.0.0.6",0.76
1466419313,"10.0.0.3","10.0.0.4",0.552
1466419315,"10.0.0.6","10.0.0.3",0.61625
1466419315,"10.0.0.6","10.0.0.5",0.696
1466419316,"10.0.0.4","10.0.0.3",0.6065
1466419316,"10.0.0.4","10.0.0.5",0.713
1466419316,"10.0.0.4","10.0.0.6",0.766
1466419317,"10.0.0.5","10.0.0.3",0.63975
1466419317,"10.0.0.5","10.0.0.6",0.766
1466419317,"10.0.0.5","10.0.0.4",0.511
1466419342,"10.0.0.5","10.0.0.3",0.86025
1466419342,"10.0.0.5","10.0.0.6",0.831
1466419342,"10.0.0.5","10.0.0.4",0.7915
1466419343,"10.0.0.1","10.0.0.2",0.9195
1466419344,"10.0.0.3","10.0.0.2",0.9485
1466419344,"10.0.0.2","10.0.0.3",0.84675
1466419344,"10.0.0.2","10.0.0.1",1
1466419344,"10.0.0.3","10.0.0.5",0.923666666666667
1466419344,"10.0.0.3","10.0.0.6",0.894
1466419344,"10.0.0.3","10.0.0.4",0.937
1466419346,"10.0.0.6","10.0.0.3",0.8905
1466419346,"10.0.0.6","10.0.0.5",0.942
1466419347,"10.0.0.4","10.0.0.3",0.871
1466419347,"10.0.0.4","10.0.0.5",0.923666666666667
1466419347,"10.0.0.4","10.0.0.6",0.894
1466419372,"10.0.0.4","10.0.0.3",0.873
1466419372,"10.0.0.4","10.0.0.5",0.981333333333333
1466419373,"10.0.0.5","10.0.0.3",0.872
1466419373,"10.0.0.5","10.0.0.6",0.943
1466419373,"10.0.0.5","10.0.0.4",0.972
1466419374,"10.0.0.1","10.0.0.2",1
1466419375,"10.0.0.3","10.0.0.2",1
1466419375,"10.0.0.2","10.0.0.3",0.873
1466419375,"10.0.0.2","10.0.0.1",1
1466419375,"10.0.0.3","10.0.0.5",1
1466419375,"10.0.0.3","10.0.0.6",0.943
1466419375,"10.0.0.3","10.0.0.4",0.972
1466419377,"10.0.0.6","10.0.0.3",0.88775
1466419377,"10.0.0.6","10.0.0.5",1
1466419377,"10.0.0.6","10.0.0.4",0.972
1466419403,"10.0.0.4","10.0.0.3",0.933
1466419403,"10.0.0.6","10.0.0.3",0.95775
1466419403,"10.0.0.4","10.0.0.5",1
1466419403,"10.0.0.6","10.0.0.5",1
1466419404,"10.0.0.5","10.0.0.2",1
1466419404,"10.0.0.5","10.0.0.3",0.95775
1466419404,"10.0.0.5","10.0.0.6",0.8585
1466419404,"10.0.0.5","10.0.0.4",0.97
1466419405,"10.0.0.1","10.0.0.2",1
1466419406,"10.0.0.3","10.0.0.2",1
1466419406,"10.0.0.2","10.0.0.3",0.933
1466419406,"10.0.0.2","10.0.0.1",1
1466419406,"10.0.0.3","10.0.0.5",1
1466419406,"10.0.0.3","10.0.0.6",0.8525
1466419406,"10.0.0.3","10.0.0.4",1
1466419432,"10.0.0.3","10.0.0.2",1
1466419432,"10.0.0.2","10.0.0.3",0.9695
1466419432,"10.0.0.2","10.0.0.1",1
1466419432,"10.0.0.3","10.0.0.5",1
1466419432,"10.0.0.3","10.0.0.6",0.8795
1466419432,"10.0.0.3","10.0.0.4",0.947
1466419434,"10.0.0.4","10.0.0.3",0.9695
1466419434,"10.0.0.6","10.0.0.3",0.9695
1466419434,"10.0.0.4","10.0.0.5",1
1466419434,"10.0.0.6","10.0.0.5",1
1466419435,"10.0.0.5","10.0.0.3",0.9695
1466419435,"10.0.0.5","10.0.0.6",0.9095
1466419435,"10.0.0.5","10.0.0.4",0.972
1466419436,"10.0.0.1","10.0.0.2",1
1466419462,"10.0.0.1","10.0.0.2",1
1466419463,"10.0.0.3","10.0.0.2",1
1466419463,"10.0.0.2","10.0.0.3",0.9175
1466419463,"10.0.0.2","10.0.0.1",1
1466419463,"10.0.0.3","10.0.0.5",0.962
1466419463,"10.0.0.3","10.0.0.6",0.7605
1466419463,"10.0.0.3","10.0.0.4",1
1466419465,"10.0.0.6","10.0.0.3",0.888
1466419465,"10.0.0.6","10.0.0.5",0.962
1466419466,"10.0.0.5","10.0.0.2",1
1466419466,"10.0.0.4","10.0.0.3",0.888
1466419466,"10.0.0.5","10.0.0.3",0.888
1466419466,"10.0.0.4","10.0.0.5",0.962
1466419466,"10.0.0.5","10.0.0.6",0.7765
1466419466,"10.0.0.5","10.0.0.4",1
1466419492,"10.0.0.5","10.0.0.2",1
1466419492,"10.0.0.5","10.0.0.3",0.92525
1466419492,"10.0.0.5","10.0.0.6",0.97
1466419492,"10.0.0.5","10.0.0.4",1
1466419493,"10.0.0.1","10.0.0.2",1
1466419494,"10.0.0.3","10.0.0.2",1
1466419494,"10.0.0.2","10.0.0.3",0.92525
1466419494,"10.0.0.2","10.0.0.1",1
1466419494,"10.0.0.3","10.0.0.5",0.932
1466419494,"10.0.0.3","10.0.0.6",1
1466419494,"10.0.0.3","10.0.0.4",1
1466419496,"10.0.0.4","10.0.0.3",0.92425
1466419496,"10.0.0.6","10.0.0.3",0.92425
1466419496,"10.0.0.4","10.0.0.5",0.932
1466419496,"10.0.0.6","10.0.0.5",0.932
1466419522,"10.0.0.4","10.0.0.3",0.926666666666667
1466419522,"10.0.0.4","10.0.0.5",0.898666666666667
1466419522,"10.0.0.4","10.0.0.6",0.845
1466419523,"10.0.0.5","10.0.0.3",0.926666666666667
